,Layer 1,Layer 2,Layer 3,Stage 0 - Layer 1,Stage 0 - Layer 2,Stage 0 - Layer 3,Stage 1 - Layer 1,Stage 1 - Layer 2,Stage 1 - Layer 3,Stage 2 - Layer 1,Stage 2 - Layer 2,Stage 2 - Layer 3,Stage 3 - Layer 1,Stage 3 - Layer 2,Stage 3 - Layer 3,Stage 4 - Layer 1,Stage 4 - Layer 2,Stage 4 - Layer 3,Stage 5 - Layer 1,Stage 5 - Layer 2,Stage 5 - Layer 3,Stage 6 - Layer 1,Stage 6 - Layer 2,Stage 6 - Layer 3,Stage 7 - Layer 1,Stage 7 - Layer 2,Stage 7 - Layer 3,Stage 8 - Layer 1,Stage 8 - Layer 2,Stage 8 - Layer 3
25,Complain,CRM,Uang Rusak,Complain (General Customer),Branchless,BLB: CRM Uang Rusak,Complain,Branchless,CRM Uang Rusak,Complain,CRM,Uang Rusak,Complain,CRM,Uang Rusak,Complain,CRM,Uang Rusak,Complain,CRM,Uang Rusak,Complain,CRM,Uang Rusak,Complain,CRM,Uang Rusak,Complain,CRM,Uang Rusak
26,Complain,Debit Card,Tidak Terima PIN,Complain (General Customer),Branchless,BLB: Debit Card Tidak Terima PIN,Complain,Branchless,Debit Card Tidak Terima PIN,Complain,Debit Card,Tidak Terima PIN,Complain,Debit Card,Tidak Terima PIN,Complain,Debit Card,Tidak Terima PIN,Complain,Debit Card,Tidak Terima PIN,Complain,Debit Card,Tidak Terima PIN,Complain,Debit Card,Tidak Terima PIN,Complain,Debit Card,Tidak Terima PIN
27,Complain,Debit Card,Kendala Replace/ Renewal,Complain (General Customer),Branchless,BLB: Debit Card Kendala Replace/ Renewal,Complain,Branchless,Debit Card Kendala Replace/ Renewal,Complain,Debit Card,Kendala Replace/ Renewal,Complain,Debit Card,Kendala Replace/ Renewal,Complain,Debit Card,Kendala Replace/ Renewal,Complain,Debit Card,Kendala Replace/ Renewal,Complain,Debit Card,Kendala Replace/ Renewal,Complain,Debit Card,Kendala Replace/ Renewal,Complain,Debit Card,Kendala Replace/ Renewal
28,Complain,Debit Card,Kendala Transaksi,Complain (General Customer),Branchless,BLB: Debit Card Kendala Transaksi,Complain,Branchless,Debit Card Kendala Transaksi,Complain,Debit Card,Kendala Transaksi,Complain,Debit Card,Kendala Transaksi,Complain,Debit Card,Kendala Transaksi,Complain,Debit Card,Kendala Transaksi,Complain,Debit Card,Kendala Transaksi,Complain,Debit Card,Kendala Transaksi,Complain,Debit Card,Kendala Transaksi
29,Complain,Debit Card,Other,Complain (General Customer),Branchless,BLB: Debit Card Other,Complain,Branchless,Debit Card Other,Complain,Debit Card,Other,Complain,Debit Card,Other,Complain,Debit Card,Other,Complain,Debit Card,Other,Complain,Debit Card,Other,Complain,Debit Card,Other,Complain,Debit Card,Other
30,Complain,Debit Card,Pengiriman,Complain (General Customer),Branchless,BLB: Debit Card Pengiriman,Complain,Branchless,Debit Card Pengiriman,Complain,Debit Card,Pengiriman,Complain,Debit Card,Pengiriman,Complain,Debit Card,Pengiriman,Complain,Debit Card,Pengiriman,Complain,Debit Card,Pengiriman,Complain,Debit Card,Pengiriman,Complain,Debit Card,Pengiriman
31,Complain,Debit Card,Promo,Complain (General Customer),Branchless,BLB: Debit Card Promo,Complain,Branchless,Debit Card Promo,Complain,Debit Card,Promo,Complain,Debit Card,Promo,Complain,Debit Card,Promo,Complain,Debit Card,Promo,Complain,Debit Card,Promo,Complain,Debit Card,Promo,Complain,Debit Card,Promo
32,Complain,Debit Card,Terblokir,Complain (General Customer),Branchless,BLB: Debit Card Terblokir,Complain,Branchless,Debit Card Terblokir,Complain,Debit Card,Terblokir,Complain,Debit Card,Terblokir,Complain,Debit Card,Terblokir,Complain,Debit Card,Terblokir,Complain,Debit Card,Terblokir,Complain,Debit Card,Terblokir,Complain,Debit Card,Terblokir
33,Complain,OCTO Clicks,Blokir,Complain (General Customer),Branchless,BLB: OCTO Clicks Blokir,Complain,Branchless,OCTO Clicks Blokir,Complain,OCTO Clicks,Blokir,Complain,OCTO Clicks,Blokir,Complain,OCTO Clicks,Blokir,Complain,OCTO Clicks,Blokir,Complain,OCTO Clicks,Blokir,Complain,OCTO Clicks,Blokir,Complain,OCTO Clicks,Blokir
34,Complain,OCTO Clicks,Kendala Login,Complain (General Customer),Branchless,BLB: OCTO Clicks Kendala Login,Complain,Branchless,OCTO Clicks Kendala Login,Complain,OCTO Clicks,Kendala Login,Complain,OCTO Clicks,Kendala Login,Complain,OCTO Clicks,Kendala Login,Complain,OCTO Clicks,Kendala Login,Complain,OCTO Clicks,Kendala Login,Complain,OCTO Clicks,Kendala Login,Complain,OCTO Clicks,Kendala Login
35,Complain,OCTO Clicks,Kendala Transaksi,Complain (General Customer),Branchless,BLB: OCTO Clicks Kendala Transaksi,Complain,Branchless,OCTO Clicks Kendala Transaksi,Complain,OCTO Clicks,Kendala Transaksi,Complain,OCTO Clicks,Kendala Transaksi,Complain,OCTO Clicks,Kendala Transaksi,Complain,OCTO Clicks,Kendala Transaksi,Complain,OCTO Clicks,Kendala Transaksi,Complain,OCTO Clicks,Kendala Transaksi,Complain,OCTO Clicks,Kendala Transaksi
36,Complain,OCTO Clicks,Other,Complain (General Customer),Branchless,BLB: OCTO Clicks Other,Complain,Branchless,OCTO Clicks Other,Complain,OCTO Clicks,Other,Complain,OCTO Clicks,Other,Complain,OCTO Clicks,Other,Complain,OCTO Clicks,Other,Complain,OCTO Clicks,Other,Complain,OCTO Clicks,Other,Complain,OCTO Clicks,Other
37,Complain,OCTO Clicks,Pemulihan Password,Complain (General Customer),Branchless,BLB: OCTO Clicks Pemulihan Password,Complain,Branchless,OCTO Clicks Pemulihan Password,Complain,OCTO Clicks,Pemulihan Password,Complain,OCTO Clicks,Pemulihan Password,Complain,OCTO Clicks,Pemulihan Password,Complain,OCTO Clicks,Pemulihan Password,Complain,OCTO Clicks,Pemulihan Password,Complain,OCTO Clicks,Pemulihan Password,Complain,OCTO Clicks,Pemulihan Password
38,Complain,OCTO Clicks,Pemulihan User ID,Complain (General Customer),Branchless,BLB: OCTO Clicks Pemulihan User ID,Complain,Branchless,OCTO Clicks Pemulihan User ID,Complain,OCTO Clicks,Pemulihan User ID,Complain,OCTO Clicks,Pemulihan User ID,Complain,OCTO Clicks,Pemulihan User ID,Complain,OCTO Clicks,Pemulihan User ID,Complain,OCTO Clicks,Pemulihan User ID,Complain,OCTO Clicks,Pemulihan User ID,Complain,OCTO Clicks,Pemulihan User ID
39,Complain,OCTO Clicks,Promo,Complain (General Customer),Branchless,BLB: OCTO Clicks Promo,Complain,Branchless,OCTO Clicks Promo,Complain,OCTO Clicks,Promo,Complain,OCTO Clicks,Promo,Complain,OCTO Clicks,Promo,Complain,OCTO Clicks,Promo,Complain,OCTO Clicks,Promo,Complain,OCTO Clicks,Promo,Complain,OCTO Clicks,Promo
40,Complain,OCTO Clicks,Release,Complain (General Customer),Branchless,BLB: OCTO Clicks Release ,Complain,Branchless,OCTO Clicks Release,Complain,OCTO Clicks,Release,Complain,OCTO Clicks,Release,Complain,OCTO Clicks,Release,Complain,OCTO Clicks,Release,Complain,OCTO Clicks,Release,Complain,OCTO Clicks,Release,Complain,OCTO Clicks,Release
41,Complain,OCTO Clicks,RFP,Complain (General Customer),Branchless,BLB: OCTO Clicks RFP,Complain,Branchless,OCTO Clicks RFP,Complain,OCTO Clicks,RFP,Complain,OCTO Clicks,RFP,Complain,OCTO Clicks,RFP,Complain,OCTO Clicks,RFP,Complain,OCTO Clicks,RFP,Complain,OCTO Clicks,RFP,Complain,OCTO Clicks,RFP
42,Complain,OCTO Clicks,Terblokir,Complain (General Customer),Branchless,BLB: OCTO Clicks Terblokir,Complain,Branchless,OCTO Clicks Terblokir,Complain,OCTO Clicks,Terblokir,Complain,OCTO Clicks,Terblokir,Complain,OCTO Clicks,Terblokir,Complain,OCTO Clicks,Terblokir,Complain,OCTO Clicks,Terblokir,Complain,OCTO Clicks,Terblokir,Complain,OCTO Clicks,Terblokir
43,Complain,OCTO Clicks,Tidak Terima OTP,Complain (General Customer),Branchless,BLB: OCTO Clicks Tidak Terima OTP,Complain,Branchless,OCTO Clicks Tidak Terima OTP,Complain,OCTO Clicks,Tidak Terima OTP,Complain,OCTO Clicks,Tidak Terima OTP,Complain,OCTO Clicks,Tidak Terima OTP,Complain,OCTO Clicks,Tidak Terima OTP,Complain,OCTO Clicks,Tidak Terima OTP,Complain,OCTO Clicks,Tidak Terima OTP,Complain,OCTO Clicks,Tidak Terima OTP
